Date,Close/Last
4/10/2023,4109.11
4/06/2023,4105.02
4/05/2023,4090.38
4/04/2023,4100.6
4/03/2023,4124.51
03/31/2023,4109.31
03/30/2023,4050.83
03/29/2023,4027.81
03/28/2023,3971.27
03/27/2023,3977.53
03/24/2023,3970.99
03/23/2023,3948.72
03/22/2023,3936.97
03/21/2023,4002.87
03/20/2023,3951.57
03/17/2023,3916.64
03/16/2023,3960.28
03/15/2023,3891.93
03/14/2023,3919.29
03/13/2023,3855.76
3/10/2023,3861.59
3/09/2023,3918.32
3/08/2023,3992.01
3/07/2023,3986.37
3/06/2023,4048.42
3/03/2023,4045.64
3/02/2023,3981.35
3/01/2023,3951.39
02/28/2023,3970.15
02/27/2023,3982.24
02/24/2023,3970.04
02/23/2023,4012.32
02/22/2023,3991.05
02/21/2023,3997.34
02/17/2023,4079.09
02/16/2023,4090.41
02/15/2023,4147.6
02/14/2023,4136.13
02/13/2023,4137.29
2/10/2023,4090.46
2/09/2023,4081.5
2/08/2023,4117.86
2/07/2023,4164
2/06/2023,4111.08
2/03/2023,4136.48
2/02/2023,4179.76
2/01/2023,4119.21
01/31/2023,4076.6
01/30/2023,4017.77
01/27/2023,4070.56
01/26/2023,4060.43
01/25/2023,4016.22
01/24/2023,4016.95
01/23/2023,4019.81
01/20/2023,3972.61
01/19/2023,3898.85
01/18/2023,3928.86
01/17/2023,3990.97
01/13/2023,3999.09
1/12/2023,3983.17
1/11/2023,3969.61
1/10/2023,3919.25
1/09/2023,3892.09
1/06/2023,3895.08
1/05/2023,3808.1
1/04/2023,3852.97
1/03/2023,3824.14
12/30/2022,3839.5
12/29/2022,3849.28
12/28/2022,3783.22
12/27/2022,3829.25
12/23/2022,3844.82
12/22/2022,3822.39
12/21/2022,3878.44
12/20/2022,3821.62
12/19/2022,3817.66
12/16/2022,3852.36
12/15/2022,3895.75
12/14/2022,3995.32
12/13/2022,4019.65
12/12/2022,3990.56
12/09/2022,3934.38
12/08/2022,3963.51
12/07/2022,3933.92
12/06/2022,3941.26
12/05/2022,3998.84
12/02/2022,4071.7
12/01/2022,4076.57
11/30/2022,4080.11
11/29/2022,3957.63
11/28/2022,3963.94
11/25/2022,4026.12
11/23/2022,4027.26
11/22/2022,4003.58
11/21/2022,3949.94
11/18/2022,3965.34
11/17/2022,3946.56
11/16/2022,3958.79
11/15/2022,3991.73
11/14/2022,3957.25
11/11/2022,3992.93
11/10/2022,3956.37
11/09/2022,3748.57
11/08/2022,3828.11
11/07/2022,3806.8
11/04/2022,3770.55
11/03/2022,3719.89
11/02/2022,3759.69
11/01/2022,3856.1
10/31/2022,3871.98
10/28/2022,3901.06
10/27/2022,3807.3
10/26/2022,3830.6
10/25/2022,3859.11
10/24/2022,3797.34
10/21/2022,3752.75
10/20/2022,3665.78
10/19/2022,3695.16
10/18/2022,3719.98
10/17/2022,3677.95
10/14/2022,3583.07
10/13/2022,3669.91
10/12/2022,3577.03
10/11/2022,3588.84
10/10/2022,3612.39
10/07/2022,3639.66
10/06/2022,3744.52
10/05/2022,3783.28
10/04/2022,3790.93
10/03/2022,3678.43
09/30/2022,3585.62
09/29/2022,3640.47
09/28/2022,3719.04
09/27/2022,3647.29
09/26/2022,3655.04
09/23/2022,3693.23
09/22/2022,3757.99
09/21/2022,3789.93
09/20/2022,3855.93
09/19/2022,3899.89
09/16/2022,3873.33
09/15/2022,3901.35
09/14/2022,3946.01
09/13/2022,3932.69
9/12/2022,4110.41
9/09/2022,4067.36
9/08/2022,4006.18
9/07/2022,3979.87
9/06/2022,3908.19
9/02/2022,3924.26
9/01/2022,3966.85
08/31/2022,3955
08/30/2022,3986.16
08/29/2022,4030.61
08/26/2022,4057.66
08/25/2022,4199.12
08/24/2022,4140.77
08/23/2022,4128.73
08/22/2022,4137.99
08/19/2022,4228.48
08/18/2022,4283.74
08/17/2022,4274.04
08/16/2022,4305.2
08/15/2022,4297.14
8/12/2022,4280.15
8/11/2022,4207.27
8/10/2022,4210.24
8/09/2022,4122.47
8/08/2022,4140.06
8/05/2022,4145.19
8/04/2022,4151.94
8/03/2022,4155.17
8/02/2022,4091.19
8/01/2022,4118.63
07/29/2022,4130.29
07/28/2022,4072.43
07/27/2022,4023.61
07/26/2022,3921.05
07/25/2022,3966.84
07/22/2022,3961.63
07/21/2022,3998.95
07/20/2022,3959.9
07/19/2022,3936.69
07/18/2022,3830.85
07/15/2022,3863.16
07/14/2022,3790.38
07/13/2022,3801.78
7/12/2022,3818.8
7/11/2022,3854.43
7/08/2022,3899.38
7/07/2022,3902.62
7/06/2022,3845.08
7/05/2022,3831.39
7/01/2022,3825.33
06/30/2022,3785.38
06/29/2022,3818.83
06/28/2022,3821.55
06/27/2022,3900.11
06/24/2022,3911.74
06/23/2022,3795.73
06/22/2022,3759.89
06/21/2022,3764.79
06/17/2022,3674.84
06/16/2022,3666.77
06/15/2022,3789.99
06/14/2022,3735.48
06/13/2022,3749.63
6/10/2022,3900.86
6/09/2022,4017.82
6/08/2022,4115.77
6/07/2022,4160.68
6/06/2022,4121.43
6/03/2022,4108.54
6/02/2022,4176.82
6/01/2022,4101.23
05/31/2022,4132.15
05/27/2022,4158.24
05/26/2022,4057.84
05/25/2022,3978.73
05/24/2022,3941.48
05/23/2022,3973.75
05/20/2022,3901.36
05/19/2022,3900.79
05/18/2022,3923.68
05/17/2022,4088.85
05/16/2022,4008.01
05/13/2022,4023.89
5/12/2022,3930.08
5/11/2022,3935.18
5/10/2022,4001.05
5/09/2022,3991.24
5/06/2022,4123.34
5/05/2022,4146.87
5/04/2022,4300.17
5/03/2022,4175.48
5/02/2022,4155.38
04/29/2022,4131.93
04/28/2022,4287.5
04/27/2022,4183.96
04/26/2022,4175.2
04/25/2022,4296.12
04/22/2022,4271.78
04/21/2022,4393.66
04/20/2022,4459.45
04/19/2022,4462.21
04/18/2022,4391.69
04/14/2022,4392.59
04/13/2022,4446.59
4/12/2022,4397.45
